time,div,note,freq,,,,,,,,
2010-04-13 8:37,pedal,c3,131.17,131.2,131.18,131.11,131.17,131.14,131.21,,
2010-04-13 8:37,pedal,c4,262.08,262.12,262.09,262.05,262.07,262.1,262.08,,
2010-04-13 8:40,swell,c3,131.42,131.47,131.45,131.47,131.5,131.47,131.45,,
2010-04-13 8:40,swell,c4,262.9,262.87,262.84,262.85,262.9,262.87,262.88,,
2010-04-13 8:42,great,c4,262.04,262.05,262.01,262.03,261.97,261.98,261.99,,
2010-04-13 8:42,great,c5,524.07,524.03,524.05,524.06,523.98,523.95,523.94,,
2010-04-13 8:42,great,c6,1048.75,1048.87,1048.75,1048.7,1048.69,1048.71,1048.66,,
2010-04-13 8:45,choir,c5,523.9,523.87,523.94,523.91,523.95,523.9,523.89,,
2010-04-16 6:16,pedal,c3,131.2,131.25,131.27,131.25,131.22,131.18,131.25,131.24,131.22
2010-04-16 6:16,pedal,c4,262.26,262.34,262.37,262.26,262.31,262.29,262.2,262.19,262.3
2010-04-16 6:16,pedal,c5,524.77,524.85,524.73,524.78,524.73,524.78,524.83,524.73,
2010-04-16 6:20,swell,c3,131.7,131.62,131.68,131.64,131.71,131.74,,,
2010-04-16 6:20,swell,c4,263.27,263.28,263.27,263.27,263.27,263.25,263.26,263.27,
2010-04-16 6:23,great,c3,131.02,130.98,131,130.95,130.99,131.03,130.97,130.94,
2010-04-16 6:23,great,c4,261.75,261.72,261.73,261.75,261.76,261.76,261.7,261.75,261.72
2010-04-16 6:23,great,c5,523.58,523.58,523.56,523.63,523.68,523.61,523.69,523.72,523.66
2010-04-16 6:27,choir,c5,524.54,524.4,524.47,524.58,524.42,524.46,524.58,524.48,
2010-04-16 6:48,pedal,c3,131.29,131.32,131.22,131.23,131.23,131.27,131.25,131.25,
2010-04-16 6:48,pedal,c4,262.24,262.21,262.31,262.21,262.25,262.33,262.21,,
2010-04-16 6:48,pedal,c5,525,524.84,524.89,524.89,524.79,524.8,524.72,524.77,
2010-04-16 6:52,swell,c3,131.71,131.7,131.71,131.79,131.67,131.66,131.64,,
2010-04-16 6:52,swell,c4,263.3,263.28,263.25,263.28,263.25,263.29,263.28,263.28,
2010-04-16 6:54,great,c3,130.99,131.05,131.04,131,131.02,131.03,131,131.04,131.06
2010-04-16 6:54,great,c4,261.82,261.82,261.83,261.81,261.81,261.81,261.8,261.82,
2010-04-16 6:54,great,c5,523.78,523.74,523.71,523.75,523.79,523.74,523.75,523.73,
2010-04-16 8:43,pedal,c3,131.29,131.3,131.24,131.28,131.32,131.33,131.34,131.29,
2010-04-16 8:43,pedal,c4,262.42,262.48,262.41,262.43,262.41,262.39,262.39,262.42,
2010-04-16 8:43,pedal,c5,,525.31,525.3,525.38,525.35,525.31,525.25,525.34,
2010-04-16 8:49,swell,c3,131.63,131.63,131.74,131.75,131.77,131.82,,,
2010-04-16 8:54,swell,c4,263.32,263.33,263.34,263.34,263.33,263.31,263.36,,
2010-04-16 8:55,great,c3,131.16,131.13,131.17,131.16,131.13,131.15,,,
2010-04-16 8:55,great,c4,262.13,262.1,262.16,262.12,262.13,262.12,262.08,262.06,262.12
2010-04-16 8:55,great,c5,524.31,524.39,524.33,524.34,524.31,524.31,524.34,524.36,
2010-04-16 9:00,choir,c5,524.71,524.67,524.67,524.76,524.74,524.79,,,
2010-04-16 9:20,pedal,c3,131.26,131.37,131.3,131.36,131.25,131.36,131.27,131.34,
2010-04-16 9:20,pedal,c4,262.4,262.4,262.41,262.43,262.42,262.42,262.43,262.44,
2010-04-16 9:20,pedal,c5,525.25,525.34,525.31,525.32,525.33,525.32,525.35,,
2010-04-16 9:23,swell,c3,131.71,131.71,131.72,131.76,,,,,
2010-04-16 9:23,swell,c4,263.37,263.39,263.38,263.4,263.38,263.36,263.35,263.39,
2010-04-16 9:25,great,c3,131.07,131.08,131.14,131.06,131.1,131.09,131.03,,
2010-04-16 9:25,great,c4,262.02,262.02,262.07,262.06,262.05,262.03,262.03,262.03,
2010-04-16 9:25,great,c5,524.18,524.13,524.13,524.1,524.14,524.09,524.14,,
2010-04-16 9:27,choir,c5,524.61,524.66,524.62,524.69,524.67,524.67,,,
2010-04-17 9:45,pedal,c3,131.09,131.08,131.09,131.01,131.16,131.07,131.11,131.15,131.14
2010-04-17 9:45,pedal,c4,261.93,261.94,261.89,262.05,261.99,261.91,261.89,261.94,
2010-04-17 9:45,pedal,c5,524.24,524.2,524.24,524.28,524.17,,,,
2010-04-17 9:48,swell,c3,131.55,131.58,131.49,131.49,131.6,,,,
2010-04-17 9:48,swell,c4,262.95,262.92,262.92,262.94,262.96,262.9,262.93,262.94,
2010-04-17 9:50,great,c3,131,130.95,130.95,130.97,130.98,130.99,130.93,130.94,
2010-04-17 9:50,great,c4,261.74,261.76,261.71,261.74,261.69,261.77,261.71,261.72,261.73
2010-04-17 9:50,great,c5,523.6,523.64,523.61,523.56,523.77,523.63,523.65,523.69,
2010-04-17 9:54,choir,c5,523.73,523.61,523.66,523.77,523.63,523.65,523.69,,
2010-04-17 10:35,pedal,c4,261.95,261.95,262.02,262,261.97,262.01,261.95,261.97,
2010-04-17 10:37,great,c4,261.69,261.69,261.68,261.71,261.74,261.66,261.68,261.69,261.67
2010-04-17 9:54,choir,c5,,523.73,523.61,523.66,523.77,523.63,523.65,523.69,
2010-04-17 10:35,pedal,c4,,261.95,261.95,262.02,262,261.97,262.01,261.95,261.97
2010-04-17 10:37,great,c4,,261.69,261.69,261.68,261.71,261.74,261.66,261.68,261.69
